HIP,X,Y,Z,Exo,Discorery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
55868,-29.801,4.314,12.076,0,None,0,0,0,-0.08,-1.14,-0.26,-0.17,,,,-0.16,,,0.06,-0.3,,,-0.41,-0.08,
55900,-33.238,4.745,-7.404,0,None,0,0,0,0.22,,0.15,0.06,0.3,0.18,0.08,0.2,0.18,,0.18,0.19,0.18,0.14,,0.26,0.2
55909,-51.604,7.347,-76.999,0,None,0,0,0,-0.41,,,,-0.29,-0.36,-0.41,-0.36,-0.34,,,-0.44,-0.43,,,-0.41,
55941,-261.873,36.926,-7.849,0,None,0,0,0,0.01,-2.18,-0.15,0.09,0.18,0.09,0.28,0.15,0.14,0.12,0.17,0.25,0.17,-0.05,0.1,0.05,0.22
55994,-100.013,13.832,97.387,1,Radial Velocity,2,1.23,1.46,0.14,,-0.16,-0.15,-0.09,0.01,-0.06,-0.09,0.11,,0.04,0,0.08,0.1,,0.13,0.3
56004,-42.394,5.841,-43.006,0,None,0,0,0,0.17,,,-0.04,0.07,0.25,0.12,0.13,0.19,0.2,0.11,0.35,0.14,0.05,0.26,0.1,0.07
56035,-15.734,2.136,29.586,0,None,0,0,0,-0.3,,-0.36,-0.41,-0.41,-0.4,-0.54,-0.38,-0.35,,-0.13,,-0.22,,0.03,-0.43,-0.25
56130,-204.844,26.655,-99.854,0,None,0,0,0,0.39,,,,0.51,0.41,0.19,0.35,0.28,,0.28,,0.2,,,0.27,
56146,-97.343,12.606,32.671,0,None,0,0,0,-0.08,-2.17,-0.27,-0.1,-0.05,0.1,0,0.02,-0.06,-0.08,-0.1,-0.2,-0.08,-0.16,-0.02,-0.12,-0.08
56148,-37.807,4.89,35.766,0,None,0,0,0,-0.34,-0.7,-0.13,0.04,-0.31,-0.3,-0.4,-0.21,-0.27,,-0.3,-0.35,,-0.62,-0.4,-0.36,
56185,-85.705,10.899,14.644,0,None,0,0,0,0.03,,0.14,0.19,-0.05,-0.05,0.1,0,0.12,,0.13,,-0.13,,,0.13,
56186,-36.162,4.598,23.059,0,None,0,0,0,-0.33,-0.72,-0.14,-0.08,-0.28,-0.24,-0.43,-0.18,-0.29,,-0.3,-0.39,,-0.65,-0.32,-0.33,
56194,-108.426,13.711,124.794,0,None,0,0,0,-0.12,,,,,-0.03,-0.19,-0.01,-0.2,,-0.31,-0.37,-0.22,,,-0.17,-0.13
56242,-22.448,2.781,5.793,0,None,0,0,0,0.04,-0.85,0.09,-0.02,-0.03,0.11,0.02,0.02,0.08,0.34,0.05,-0.01,0.05,-0.09,0.17,0.01,0.33
56257,-26.14,3.221,23.252,0,None,0,0,0,0.08,,0.03,-0.05,-0.06,-0.02,-0.04,0.04,0.07,,0.03,0.14,0.08,-0.11,,0.02,0.08
56278,-47.595,5.793,-29.247,0,None,0,0,0,0.06,,0.1,-0.03,0.18,0.1,0.11,0.07,0.07,0.12,0.16,0.23,0.05,0,0.16,0.09,
56287,-38.896,4.718,-92.135,0,None,0,0,0,0.08,-3.08,,0.04,0.2,,0.24,0.21,0.09,0.2,0.1,0.14,0.07,0,0.25,0.13,
56336,-59.376,7.047,-37.468,0,None,0,0,0,-0.38,,,-0.35,-0.51,-0.26,-0.47,-0.38,-0.37,-0.2,-0.4,,-0.45,-0.54,-0.13,-0.44,-0.58
56343,-29.466,3.487,-18.439,0,None,0,0,0,0.09,-2.14,-0.24,-0.22,0.32,0.14,0.1,0.06,0.08,0.1,0.01,0.03,0.05,-0.08,0.08,0.07,0.02
56352,-107.571,12.699,88.726,0,None,0,0,0,-0.04,,-0.24,-0.09,-0.31,-0.12,-0.16,-0.22,-0.04,,-0.07,-0.11,-0.1,-0.22,,-0.07,0.01
56363,-12.647,1.485,-30.079,0,None,0,0,0,0.4,,0.42,0.39,0.61,0.41,0.48,0.45,0.4,0.59,0.49,0.72,0.45,0.49,0.65,0.52,0.55
56410,-102.877,11.749,77.506,0,None,0,0,0,-0.1,-3.17,-0.09,-0.04,0.02,0.16,0.23,0.17,0.02,-0.07,0,-0.07,-0.08,-0.25,0.01,-0.03,-0.21
56423,-17.644,2.001,38.505,0,None,0,0,0,-0.43,-1.04,-0.15,-0.18,-0.46,-0.32,-0.5,-0.4,-0.36,,-0.43,-0.48,,-0.73,-0.43,-0.46,
56445,-26.833,3.014,1.444,0,None,0,0,0,0.1,-0.56,,0.09,,0.02,,-0.02,0.05,,0.06,,,,,,
56452,-7.963,0.89,-5.17,0,None,0,0,0,-0.35,-1.92,-0.2,-0.16,-0.38,-0.28,-0.31,-0.31,-0.31,-0.25,-0.21,-0.32,-0.37,-0.51,-0.22,-0.37,-0.08
56489,-29.224,3.221,-6.919,0,None,0,0,0,-0.8,,-0.95,,-0.42,-0.58,-0.26,-0.78,-0.39,0.23,-0.03,0.1,-0.57,-1.22,-0.6,-0.78,
56497,-38.729,4.25,-45.036,0,None,0,0,0,-0.07,,,,0.11,0.1,0.1,0,0.05,0.24,0.07,0.22,0.02,0.3,0.1,-0.06,
56508,-127.78,13.959,47.91,2,Radial Velocity,1,1.61,2.28,0.1,-2.54,-0.17,-0.06,0.24,0.19,0.3,0.25,0.18,0.11,0.1,0.06,0.14,0.06,0.1,0.12,0.13
56528,,,,1,Radial Velocity,3,0.018,0.48,,,,,,,,,,,,,,,,,
