HIP,Sampled,Predicted,Prob
26883,10.0,8.0,0.8
28011,10.0,8.0,0.8
28029,10.0,8.0,0.8
92026,10.0,8.0,0.8
27706,10.0,8.0,0.8
10090,10.0,8.0,0.8
27980,10.0,8.0,0.8
51987,10.0,8.0,0.8
10303,10.0,8.0,0.8
6605,10.0,8.0,0.8
27896,10.0,8.0,0.8
18828,10.0,8.0,0.8
19070,10.0,8.0,0.8
109214,10.0,8.0,0.8
19126,10.0,8.0,0.8
109585,10.0,8.0,0.8
108438,10.0,8.0,0.8
110716,10.0,8.0,0.8
10175,10.0,8.0,0.8
19796,10.0,8.0,0.8
2213,10.0,8.0,0.8
19232,10.0,8.0,0.8
106913,10.0,8.0,0.8
20052,10.0,8.0,0.8
76569,10.0,8.0,0.8
2314,10.0,8.0,0.8
43706,10.0,8.0,0.8
19786,10.0,8.0,0.8
94734,10.0,8.0,0.8
113695,10.0,8.0,0.8
93889,10.0,8.0,0.8
107107,10.0,8.0,0.8
31965,10.0,8.0,0.8
84082,10.0,8.0,0.8
25461,10.0,8.0,0.8
92720,10.0,8.0,0.8
94417,10.0,8.0,0.8
94346,10.0,8.0,0.8
75132,10.0,8.0,0.8
66621,10.0,8.0,0.8
92961,10.0,8.0,0.8
71526,10.0,8.0,0.8
26079,10.0,8.0,0.8
111349,10.0,8.0,0.8
111761,10.0,8.0,0.8
47463,10.0,8.0,0.8
7693,10.0,8.0,0.8
93607,10.0,8.0,0.8
94949,10.0,8.0,0.8
87691,10.0,8.0,0.8
24331,10.0,8.0,0.8
102753,10.0,8.0,0.8
103953,10.0,8.0,0.8
103692,10.0,8.0,0.8
20949,10.0,8.0,0.8
12350,10.0,8.0,0.8
104226,10.0,8.0,0.8
104179,10.0,8.0,0.8
20611,10.0,8.0,0.8
6339,10.0,8.0,0.8
10723,10.0,8.0,0.8
36249,10.0,8.0,0.8
5985,10.0,8.0,0.8
25670,10.0,8.0,0.8
33109,10.0,8.0,0.8
83398,10.0,8.0,0.8
5936,10.0,8.0,0.8
9236,10.0,8.0,0.8
20557,10.0,8.0,0.8
20273,10.0,8.0,0.8
7576,10.0,8.0,0.8
7532,10.0,8.0,0.8
9553,10.0,8.0,0.8
68619,10.0,8.0,0.8
9404,10.0,8.0,0.8
42291,10.0,8.0,0.8
42010,10.0,8.0,0.8
69569,10.0,8.0,0.8
68461,10.0,8.0,0.8
15868,10.0,8.0,0.8
7719,10.0,8.0,0.8
28518,10.0,8.0,0.8
64905,10.0,8.0,0.8
729,10.0,8.0,0.8
69185,10.0,8.0,0.8
68940,10.0,8.0,0.8
53818,10.0,8.0,0.8
116852,10.0,8.0,0.8
44713,10.0,8.0,0.8
22563,10.0,8.0,0.8
23069,10.0,8.0,0.8
3535,10.0,8.0,0.8
99987,10.0,8.0,0.8
1306,10.0,8.0,0.8
100587,10.0,8.0,0.8
99174,10.0,8.0,0.8
98978,10.0,8.0,0.8
35279,10.0,8.0,0.8
22176,10.0,8.0,0.8
15310,10.0,8.0,0.8
59532,10.0,8.0,0.8
12198,10.0,8.0,0.8
49811,10.0,8.0,0.8
49266,10.0,8.0,0.8
98920,10.0,8.0,0.8
59639,10.0,8.0,0.8
3174,10.0,8.0,0.8
64150,10.0,8.0,0.8
68936,10.0,8.0,0.8
14150,10.0,8.0,0.8
11600,10.0,8.0,0.8
