HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
4804,-0.36,,-0.55,-0.36,-0.54,-0.39,-0.5,-0.54,-0.33,,-0.37,-0.46,-0.42,-0.65,,-0.37,-0.14,145.056,39.996,19.29,thin 
4806,0.06,,-0.14,-0.07,-0.17,-0.04,-0.09,-0.14,0.03,,-0.02,-0.06,0.02,0.01,,0.07,0.2,133.793,36.925,23.839,N/A 
70344,0.15,-2.24,0.11,-0.06,0.1,0.21,0.1,0.1,0.17,,0.17,-0.05,0.12,-0.07,0.17,0.09,0.07,-48.816,-35.311,49.361,thin 
37584,0.21,,,,,0.13,,0.25,0.03,1.41,0.76,0.66,0.53,0.16,0.76,0.36,2.11,-30.712,63.838,5.042,thin 
70352,-0.48,,-0.39,-0.17,-0.32,-0.22,-0.34,-0.38,-0.23,-0.13,-0.27,-0.23,-0.28,-0.57,-0.26,-0.34,,-157.888,-114.365,413.296,N/A 
37590,0.05,-2.66,-0.22,-0.18,0.22,0.14,0.15,0.16,0.14,0.03,0.04,0.06,0.09,0.16,0.06,0.02,-0.02,-39.44,81.947,-45.049,thin 
4825,0.17,,,,0.34,0.03,0.27,0.19,0.28,0.81,0.32,0.33,0.16,-0.02,0.39,0.13,1.02,84.879,23.537,3.886,thin 
4829,0.06,-2.71,-0.31,-0.16,0.28,0.15,0.09,0.12,0.15,0.08,0.08,0.08,0.08,-0.01,0.05,0.02,0.07,65.405,18.148,-104.53,thin 
4830,0.16,,,-0.07,0.06,0.22,0.07,0.11,0.12,0.23,0.06,0.09,0.07,0.03,0.24,0.12,0.05,51.382,14.264,-62.782,thin 
37599,0.01,-2.76,-0.25,-0.09,0.15,0.21,0.24,0.14,0.08,0.02,0.03,0.02,0.1,-0.1,0.03,-0.02,0.0,-42.542,88.307,-158.276,thin 
103138,-0.08,,-0.15,,0.06,-0.22,0.08,-0.15,-0.12,0.29,0.12,0.4,-0.1,-0.32,-0.05,-0.09,,23.899,-25.223,-11.822,N/A 
37606,0.0,,0.07,0.07,0.04,0.03,0.07,0.05,0.0,-0.31,-0.08,-0.23,-0.02,-0.28,-0.04,-0.01,-0.17,-7.661,15.892,-17.749,thin 
103144,0.39,-1.52,,,0.54,,0.39,0.49,0.96,0.55,0.5,0.24,1.03,0.35,0.61,0.5,0.71,55.097,-58.114,78.383,thin 
37636,-0.03,-2.17,-0.36,-0.24,0.15,0.1,0.17,0.06,0.11,-0.08,-0.08,-0.1,0.04,-0.11,-0.06,-0.09,0.06,-40.981,84.614,38.749,thin 
37643,0.02,,,,0.12,0.08,0.09,0.12,0.1,0.11,0.09,0.11,0.04,0.14,0.08,0.0,,-40.303,83.099,-128.25,N/A 
37645,0.08,,0.26,0.08,0.11,0.22,0.09,0.08,0.18,0.36,0.17,0.06,0.08,-0.05,0.26,0.05,0.49,-24.684,50.88,3.445,thin 
70414,0.02,-3.73,-0.09,0.05,0.15,0.17,0.21,0.18,-0.04,0.02,0.04,0.03,0.1,0.1,0.22,0.08,0.18,-98.976,-72.112,17.395,thin 
4882,0.13,,0.05,-0.06,-0.03,0.05,0.02,0.1,0.06,,0.13,0.06,0.08,,0.01,0.12,,30.574,8.584,-34.399,thin 
103190,-0.49,,-0.48,-0.41,-0.55,-0.46,-0.62,-0.48,-0.3,-0.34,-0.45,-0.4,-0.43,-0.76,-0.43,-0.48,,64.701,-67.958,257.07,thin 
70426,0.16,,,,0.2,-0.07,0.12,0.05,0.1,0.37,0.16,0.49,0.01,-0.17,0.12,0.06,,-18.128,-13.225,39.271,N/A 
4890,0.02,-2.27,-0.4,-0.29,0.18,0.12,0.1,0.09,0.12,0.05,0.03,0.03,0.05,-0.11,0.03,-0.03,-0.02,49.567,13.937,-54.064,thin 
4892,-0.25,,,-0.33,-0.4,-0.24,-0.3,-0.29,-0.24,-0.16,-0.3,,-0.33,-0.44,-0.15,-0.32,-0.36,45.013,12.659,-35.642,thin 
37664,0.05,-3.18,-0.11,-0.03,0.11,0.25,0.23,0.21,0.09,-0.06,0.03,0.11,0.1,0.06,0.05,0.05,-0.12,-21.962,45.18,-43.567,thin 
37670,-1.25,,-1.17,,-1.46,-1.01,,-1.11,-1.0,,,,-1.31,-1.59,,-1.31,,-76.502,157.315,-0.194,N/A 
37671,-1.21,-0.79,-1.19,-0.84,-1.44,-1.04,,-1.12,-0.97,,-0.91,-1.25,-1.31,-1.54,-1.04,-1.29,,-77.853,160.097,-0.208,N/A 
4906,-0.27,-3.43,-0.42,-0.12,-0.16,-0.16,-0.11,-0.09,-0.15,-0.25,-0.23,-0.35,-0.24,-0.43,-0.17,-0.26,-0.24,55.078,15.519,7.93,thin 
37674,-0.06,,-0.28,-0.19,-0.28,-0.12,-0.22,-0.23,-0.05,,-0.11,-0.14,-0.11,-0.2,,-0.07,0.12,-29.634,60.902,64.938,thin 
4909,0.06,-0.87,-0.03,-0.07,-0.11,0.03,-0.02,-0.02,0.08,0.06,0.01,-0.05,0.04,-0.09,0.02,-0.03,0.13,50.372,14.196,-9.097,N/A 
4914,-0.28,,,,-0.14,-0.06,0.08,-0.1,-0.2,-0.18,-0.24,-0.21,-0.24,-0.38,-0.23,-0.31,-0.37,105.219,29.696,-9.251,thin 
37683,-0.21,,-0.15,,-0.26,-0.2,-0.22,-0.22,-0.17,-0.19,-0.1,-0.13,-0.21,-0.42,-0.27,-0.26,,-16.803,34.501,-40.94,thin 
