HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
73066,-0.11,,,,-0.1,-0.25,-0.1,-0.12,-0.15,,0.03,0.14,-0.12,,-0.08,-0.07,,-17.45,-16.839,-12.424,N/A ,0.0,0.0,None,0.0,0.0
73067,0.08,,,,0.27,0.14,0.18,0.19,0.17,0.25,0.17,0.23,0.16,0.0,0.23,0.1,,-51.682,-49.895,-129.098,N/A ,0.0,0.0,None,0.0,0.0
73078,0.09,,0.28,0.3,-0.09,0.04,1.01,0.16,-0.12,,-0.27,-0.21,,-0.31,-0.04,-0.05,,-35.626,-34.444,46.726,thin ,0.0,0.0,None,0.0,0.0
73100,0.14,-0.83,0.06,0.05,0.02,0.15,0.06,0.12,0.22,0.65,0.14,0.11,0.13,-0.04,0.16,0.13,0.34,-11.696,-11.333,19.155,thin ,0.0,0.0,None,0.0,0.0
73136,-0.2,-1.38,-0.6,-0.09,-0.15,-0.09,-0.21,-0.21,-0.08,0.0,-0.13,-0.06,-0.09,-0.33,-0.11,-0.15,,-30.665,-29.822,158.539,thin ,1.0,1.0,Radial Velocity,1.31,1.44
73139,0.18,,0.18,0.46,0.32,0.17,0.2,0.19,0.15,,0.21,0.24,0.21,,0.25,0.28,,-26.89,-26.152,-14.017,thin ,0.0,0.0,None,0.0,0.0
73146,0.15,-2.12,0.07,0.09,-0.05,0.22,0.13,0.08,0.17,0.18,0.16,0.1,0.07,0.13,0.14,0.1,,-30.085,-29.285,56.496,thin ,1.0,1.0,Radial Velocity,6.2,1.09
73184,0.04,,,0.12,0.18,0.08,0.09,-0.02,-0.03,0.35,0.16,0.42,-0.01,-0.01,0.18,0.06,-0.05,-3.918,-3.832,-2.15,thin ,0.0,0.0,None,0.0,0.0
73193,0.16,-3.0,-0.15,0.0,0.24,0.26,0.24,0.27,0.14,0.09,0.16,0.08,0.2,0.21,0.26,0.18,0.2,-64.915,-63.544,-0.266,thin ,0.0,0.0,None,0.0,0.0
73211,-0.16,,,,,-0.08,-0.26,-0.22,-0.13,,-0.14,-0.56,-0.22,,,-0.15,-0.3,-64.935,-63.672,31.291,thin ,0.0,0.0,None,0.0,0.0
73223,-0.08,,,,0.38,0.05,0.34,-0.08,0.12,-0.12,0.32,0.66,0.01,-0.12,0.27,-0.11,,-19.45,-19.094,-114.963,thin ,0.0,0.0,None,0.0,0.0
73224,-0.03,,,,-0.09,-0.07,0.0,-0.11,-0.01,-0.04,-0.07,0.05,-0.09,-0.16,0.07,-0.12,,-39.701,-38.977,31.961,N/A ,0.0,0.0,None,0.0,0.0
73241,0.12,-3.1,0.2,0.11,0.12,0.24,0.14,0.14,0.11,0.23,0.13,0.04,0.09,0.0,0.15,0.1,0.12,-10.904,-10.729,-17.513,thin ,0.0,0.0,None,0.0,0.0
73244,-0.12,,-0.09,,-0.14,-0.11,-0.18,-0.16,-0.07,-0.09,-0.06,-0.14,-0.12,-0.28,-0.14,-0.17,,-12.15,-11.957,-43.478,thin ,0.0,0.0,None,0.0,0.0
73261,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,Radial Velocity,1.49,1.23
73269,0.09,,0.01,0.01,-0.09,-0.01,-0.2,0.0,0.09,,0.06,0.06,0.09,-0.19,,-0.02,0.12,-30.027,-29.638,-23.108,thin ,0.0,0.0,None,0.0,0.0
73299,-0.38,,-0.26,-0.02,-0.28,-0.18,-0.34,-0.19,-0.1,-0.06,-0.2,-0.14,-0.2,-0.44,-0.23,-0.22,,-16.403,-16.233,96.331,thin ,0.0,0.0,None,0.0,0.0
73309,0.13,,0.02,0.22,0.06,0.14,0.04,0.1,0.21,0.65,0.13,0.11,0.15,-0.01,0.27,0.1,0.29,-24.242,-24.006,-2.978,thin ,0.0,0.0,None,0.0,0.0
73365,-0.04,,,,-0.02,-0.08,-0.05,-0.02,0.06,0.03,0.17,0.27,0.01,-0.19,-0.04,-0.07,,-16.752,-16.686,24.03,N/A ,0.0,0.0,None,0.0,0.0
73370,-0.26,,-0.3,,-0.03,-0.24,-0.16,-0.3,-0.15,0.27,-0.01,0.3,-0.22,-0.51,-0.16,-0.26,,-26.808,-26.723,-13.509,N/A ,0.0,0.0,None,0.0,0.0
73372,-0.04,-1.1,-0.04,,-0.06,-0.09,-0.14,-0.07,0.02,-0.3,0.03,0.0,-0.04,-0.19,-0.05,-0.08,,-7.901,-7.877,-54.892,thin ,0.0,0.0,None,0.0,0.0
73403,-0.48,-3.28,-0.42,-0.09,-0.54,-0.2,-0.41,-0.37,-0.28,-0.26,-0.4,-0.4,-0.48,-0.82,-0.33,-0.46,,-46.315,-46.333,143.595,thin ,0.0,0.0,None,0.0,0.0
73408,0.32,-1.14,0.33,0.19,0.4,0.35,0.32,0.33,0.31,0.42,0.35,0.32,0.32,0.28,0.38,0.37,0.28,-10.269,-10.278,-49.158,thin ,0.0,0.0,None,0.0,0.0
73410,-0.31,,-0.27,-0.06,-0.3,-0.15,-0.28,-0.16,-0.21,-0.08,-0.24,-0.19,-0.22,-0.47,-0.17,-0.2,,-76.89,-76.981,257.453,thin ,0.0,0.0,None,0.0,0.0
73412,-0.12,-1.33,,,-0.1,-0.07,-0.11,-0.14,-0.11,0.08,-0.08,-0.04,-0.12,-0.24,-0.07,-0.07,-0.08,-25.899,-25.938,104.168,thin ,0.0,0.0,None,0.0,0.0
73428,-0.22,,-0.27,,-0.22,-0.23,-0.18,-0.26,-0.2,-0.1,-0.03,0.1,-0.21,-0.44,-0.23,-0.27,,-32.658,-32.753,-13.737,N/A ,0.0,0.0,None,0.0,0.0
73440,-0.42,-1.69,-0.29,-0.01,-0.36,-0.02,-0.14,-0.2,-0.13,-0.12,-0.12,-0.32,-0.36,-0.67,-0.2,-0.34,-0.63,-7.265,-7.294,31.248,thin ,0.0,0.0,None,0.0,0.0
73444,-0.92,,,-0.49,-1.01,-0.57,-0.88,-0.64,-0.67,-0.66,-0.66,,-0.85,,,-0.96,0.03,-112.901,-113.41,-35.328,N/A ,0.0,0.0,None,0.0,0.0
73540,-0.05,,,,0.15,0.01,0.07,0.08,0.03,0.06,0.01,0.06,-0.04,0.12,0.05,-0.03,,-9.821,-9.981,-117.913,thin ,0.0,0.0,None,0.0,0.0
73547,-0.33,,-0.21,-0.38,-0.32,-0.26,-0.3,-0.3,-0.26,-0.3,-0.21,-0.29,-0.31,-0.5,-0.33,-0.34,-0.21,-12.562,-12.771,-19.215,thin ,0.0,0.0,None,0.0,0.0
73555,-0.03,-2.09,-0.26,-0.08,0.23,0.02,0.11,0.12,0.04,-0.03,-0.01,-0.01,-0.03,-0.12,-0.02,-0.05,-0.01,-33.485,-34.059,40.636,thin ,0.0,0.0,None,0.0,0.0
73568,-0.1,-3.64,-0.24,-0.2,0.24,-0.02,0.18,0.22,-0.16,-0.41,-0.12,-0.04,0.09,-0.04,0.16,-0.01,0.22,-72.416,-73.761,48.219,thin ,0.0,0.0,None,0.0,0.0
73577,-0.14,,-0.12,-0.06,-0.25,-0.1,-0.18,-0.11,-0.13,,-0.14,-0.11,-0.15,-0.29,,-0.12,-0.12,-32.451,-33.114,16.319,thin ,0.0,0.0,None,0.0,0.0
73578,-0.38,,-0.34,-0.16,-0.4,-0.26,-0.38,-0.26,-0.23,-0.16,-0.33,-0.26,-0.31,-0.58,-0.26,-0.3,,-69.558,-70.996,222.872,thin ,0.0,0.0,None,0.0,0.0
73593,0.25,,0.2,0.21,0.34,0.27,0.21,0.24,0.25,0.5,0.21,0.2,0.25,0.21,0.33,0.27,0.34,-25.233,-25.801,10.386,thin ,0.0,0.0,None,0.0,0.0
73611,0.34,,0.28,,0.27,0.41,0.34,0.35,0.27,,0.32,0.31,0.37,,0.4,0.39,,-56.855,-58.241,-32.604,N/A ,0.0,0.0,None,0.0,0.0
73620,-0.11,-2.99,-0.26,-0.06,-0.06,-0.24,-0.01,0.02,-0.11,-0.14,-0.12,-0.26,-0.11,-0.2,-0.04,-0.13,-0.08,-41.027,-42.079,2.146,thin ,0.0,0.0,None,0.0,0.0
73623,-0.23,,,,-0.21,-0.13,-0.3,-0.23,-0.05,0.11,-0.12,-0.07,-0.09,-0.3,-0.13,-0.1,,-11.288,-11.586,35.957,thin ,0.0,0.0,None,0.0,0.0
73634,0.13,-2.92,-0.17,-0.03,0.29,0.19,0.32,0.32,0.27,0.08,0.1,0.08,0.2,0.09,0.12,0.14,0.13,-53.363,-54.827,53.983,thin ,0.0,0.0,None,0.0,0.0
73654,-0.07,-3.28,-0.23,-0.12,0.1,0.28,0.0,0.14,0.08,0.25,0.15,0.16,0.12,0.0,0.17,0.1,,-50.665,-52.173,107.962,thin ,0.0,0.0,None,0.0,0.0
73661,-0.37,,-0.28,-0.13,-0.26,-0.19,-0.26,-0.15,-0.18,-0.11,-0.26,-0.19,-0.28,-0.5,-0.24,-0.26,,-84.888,-87.479,211.347,thin ,0.0,0.0,None,0.0,0.0
73671,-0.4,,-0.24,-0.06,-0.31,-0.3,-0.32,-0.24,-0.18,-0.14,-0.27,-0.22,-0.31,-0.59,-0.28,-0.31,,-33.121,-34.171,378.006,thin ,0.0,0.0,None,0.0,0.0
73674,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,Radial Velocity,1.42,0.95
73675,-0.12,,,,,-0.01,-0.13,-0.01,-0.16,,-0.16,-0.47,-0.26,,,-0.11,-0.28,-87.946,-90.76,87.072,thin ,0.0,0.0,None,0.0,0.0
73695,-0.15,-1.25,-0.14,-0.19,-0.3,-0.1,-0.18,-0.21,-0.11,0.07,-0.14,-0.23,-0.25,-0.52,-0.17,-0.22,-0.46,-5.972,-6.173,9.423,thin ,0.0,0.0,None,0.0,0.0
73700,0.16,,0.1,0.12,0.08,0.13,-0.02,0.15,0.21,,0.13,0.15,0.15,0.02,,0.17,0.26,-47.392,-49.0,33.305,thin ,0.0,0.0,None,0.0,0.0
73715,-0.56,-0.73,,,-0.52,-0.22,-0.5,-0.39,-0.37,-0.24,-0.38,-0.39,-0.48,-0.81,-0.44,-0.5,-0.82,-10.549,-10.934,67.815,thin ,0.0,0.0,None,0.0,0.0
73745,-0.21,-3.73,-0.31,-0.23,-0.02,0.04,0.1,0.15,-0.01,-0.28,-0.23,-0.16,-0.15,-0.3,-0.11,-0.17,-0.36,-48.537,-50.457,35.592,thin ,0.0,0.0,None,0.0,0.0
73754,0.05,-0.44,0.01,0.01,-0.17,0.08,-0.15,-0.03,0.11,0.16,0.05,-0.02,0.05,-0.14,0.09,-0.04,0.15,-21.316,-22.18,-16.564,thin ,0.0,0.0,None,0.0,0.0
73768,-0.43,-1.18,-0.1,-0.03,-0.3,-0.36,-0.47,-0.25,-0.28,,-0.38,-0.28,,-0.66,-0.45,-0.45,,-50.736,-52.885,34.894,thin ,0.0,0.0,None,0.0,0.0
73776,-0.3,-3.28,,,-0.19,-0.2,-0.15,-0.2,-0.18,-0.22,-0.19,-0.23,-0.31,-0.4,-0.21,-0.33,,-24.78,-25.841,-73.508,thin ,0.0,0.0,None,0.0,0.0
73784,-0.19,,-0.23,0.0,-0.21,-0.15,-0.24,-0.24,-0.09,0.01,-0.12,-0.04,-0.12,-0.36,-0.1,-0.16,,-36.277,-37.856,150.276,thin ,0.0,0.0,None,0.0,0.0
73815,0.06,-2.41,0.06,0.0,-0.01,0.11,0.02,0.02,0.06,0.13,0.06,-0.04,0.03,-0.05,0.11,0.02,0.1,-37.587,-39.339,5.997,N/A ,0.0,0.0,None,0.0,0.0
73864,-0.09,,,,-0.33,0.16,-0.01,0.04,-0.16,0.3,0.05,-0.09,-0.19,-0.32,,-0.16,,-46.046,-48.423,204.23,thin ,0.0,0.0,None,0.0,0.0
73869,0.05,,0.03,-0.04,-0.18,-0.11,-0.2,-0.05,-0.02,0.11,-0.12,-0.09,-0.06,-0.22,-0.06,-0.13,0.11,-13.769,-14.488,41.065,thin ,0.0,0.0,None,0.0,0.0
73882,-0.5,,-0.17,0.1,-0.47,-0.27,-0.31,-0.25,-0.32,-0.13,-0.31,-0.24,-0.33,-0.69,-0.2,-0.41,,-55.624,-58.637,128.105,thin ,0.0,0.0,None,0.0,0.0
73909,-0.37,-3.22,-0.38,-0.24,-0.24,-0.16,-0.17,-0.21,-0.22,-0.29,-0.32,-0.42,-0.36,-0.54,-0.27,-0.36,-0.4,-34.661,-36.614,70.83,thin ,0.0,0.0,None,0.0,0.0
73927,-0.04,-3.6,-0.14,-0.12,-0.06,0.25,0.14,0.08,0.01,-0.06,0.02,-0.05,-0.06,-0.1,0.08,-0.04,-0.18,-42.498,-44.961,-25.036,thin ,0.0,0.0,None,0.0,0.0
73941,0.11,-0.58,0.06,0.08,0.05,0.06,0.04,0.08,0.17,0.35,0.11,0.04,0.11,-0.04,0.17,0.08,0.29,-16.513,-17.491,17.771,thin ,0.0,0.0,None,0.0,0.0
73996,0.04,-2.98,0.4,0.34,0.1,-0.05,-0.05,-0.03,0.04,0.22,-0.06,0.12,-0.04,-0.18,0.23,-0.18,0.07,-12.122,-12.92,8.212,thin ,0.0,0.0,None,0.0,0.0
74013,-0.12,-3.28,-0.26,-0.15,-0.07,0.01,-0.13,-0.04,-0.05,0.04,-0.12,-0.05,-0.06,-0.28,-0.07,-0.07,,-54.537,-58.239,168.942,thin ,0.0,0.0,None,0.0,0.0
74074,-1.01,,,,-0.96,-0.57,-0.76,-0.71,-0.64,-0.55,-0.68,-0.75,-0.84,-1.27,-0.65,-0.88,,-176.023,-189.178,408.076,N/A ,0.0,0.0,None,0.0,0.0
74075,-0.42,,-0.29,,-0.36,-0.26,-0.32,-0.34,-0.3,-0.31,-0.24,-0.36,-0.42,-0.7,-0.41,-0.44,,-17.63,-18.947,-44.745,thin ,0.0,0.0,None,0.0,0.0
74079,-0.77,-1.05,-0.6,-0.27,-0.66,-0.46,-0.65,-0.62,-0.61,-0.57,-0.57,-0.75,-0.88,-1.1,-0.58,-0.79,-0.96,-37.131,-39.923,3.746,thin ,0.0,0.0,None,0.0,0.0
74080,0.11,,,,0.23,0.13,0.11,0.13,0.12,,0.05,-0.04,0.06,,0.12,0.04,,-77.815,-83.671,76.223,thin ,0.0,0.0,None,0.0,0.0
74083,0.07,-2.93,-0.2,-0.11,0.2,0.24,0.27,0.29,0.16,0.06,0.07,0.03,0.12,0.07,0.1,0.1,0.13,-58.823,-63.26,103.148,thin ,0.0,0.0,None,0.0,0.0
74092,0.02,-0.79,0.14,-0.07,-0.15,0.02,-0.08,0.06,0.02,0.15,-0.04,0.06,0.02,0.07,0.68,-0.97,-0.03,-9.949,-10.716,46.01,thin ,0.0,0.0,None,0.0,0.0
74107,-0.67,,-0.38,-0.22,-0.59,-0.29,-0.48,-0.32,-0.35,-0.23,-0.37,-0.33,-0.42,-0.73,-0.23,-0.42,,-63.204,-68.211,195.379,N/A ,0.0,0.0,None,0.0,0.0
74118,0.15,,0.1,0.03,0.09,0.1,0.06,0.12,0.16,,0.11,0.17,0.15,0.1,,0.16,0.07,-21.847,-23.606,11.099,thin ,0.0,0.0,None,0.0,0.0
74134,-0.3,,-0.38,-0.23,-0.32,-0.2,-0.34,-0.23,-0.19,-0.15,-0.3,-0.24,-0.26,-0.52,-0.23,-0.28,,-137.247,-148.429,361.665,N/A ,0.0,0.0,None,0.0,0.0
74135,0.37,,,,0.25,,0.19,0.15,0.18,0.49,0.3,-0.02,0.27,0.14,0.26,0.25,0.21,-23.363,-25.27,26.235,thin ,0.0,0.0,None,0.0,0.0
74176,-0.36,,,,-0.53,-0.34,-0.53,-0.44,-0.35,-0.17,-0.44,-0.36,-0.42,-0.73,-0.39,-0.43,,-37.888,-41.121,86.472,thin ,0.0,0.0,None,0.0,0.0
74268,0.04,,0.18,,0.06,,,0.07,-0.02,,0.08,,,,,0.06,,-15.261,-16.756,-21.681,thin ,0.0,0.0,None,0.0,0.0
74271,0.12,,0.09,0.15,0.08,0.11,0.09,0.09,0.12,0.17,0.13,0.1,0.12,0.04,0.11,0.1,0.24,-15.212,-16.707,-21.605,thin ,0.0,0.0,None,0.0,0.0
74273,0.15,-1.22,0.16,0.08,0.14,0.18,0.14,0.12,0.19,0.24,0.15,0.12,0.14,0.07,0.19,0.15,0.19,-7.731,-8.492,-21.083,thin ,1.0,2.0,Radial Velocity,0.0318,1.09
74289,0.47,,0.32,0.34,,0.41,0.43,0.43,0.43,,0.5,,0.46,,,0.58,,-12.832,-14.128,-65.993,N/A ,0.0,0.0,None,0.0,0.0
74316,-0.2,,-0.48,-0.19,-0.24,-0.14,-0.24,-0.19,-0.14,-0.06,-0.2,-0.12,-0.23,-0.41,-0.17,-0.16,,-137.906,-152.359,342.743,thin ,0.0,0.0,None,0.0,0.0
74341,0.11,-1.91,0.06,0.03,0.01,,0.02,0.04,0.11,0.19,0.13,0.06,0.12,0.04,,0.07,,-38.61,-42.737,25.924,N/A ,0.0,0.0,None,0.0,0.0
74346,0.07,,0.23,0.24,-0.01,0.14,0.14,0.12,0.11,,0.11,0.14,0.05,-0.08,,0.11,-0.13,-20.487,-22.682,41.389,thin ,0.0,0.0,None,0.0,0.0
74389,0.11,-1.2,0.02,-0.03,0.0,0.11,0.06,0.07,0.13,0.15,0.12,0.02,0.1,0.0,0.12,0.1,0.16,-23.421,-26.051,-20.954,thin ,0.0,0.0,None,0.0,0.0
74395,-0.02,-2.78,,,0.17,0.01,0.07,0.14,0.09,0.12,0.09,0.11,0.04,-0.16,0.09,0.0,,-14.076,-15.673,-27.06,thin ,0.0,0.0,None,0.0,0.0
74396,-0.04,,,,-0.13,-0.12,-0.16,-0.13,-0.15,-0.05,0.02,0.14,-0.16,-0.35,-0.1,-0.13,,-15.473,-17.229,19.195,thin ,0.0,0.0,None,0.0,0.0
74417,-0.03,-1.3,-0.07,-0.09,-0.06,-0.03,-0.05,-0.01,0.03,0.05,0.04,-0.02,-0.02,-0.21,-0.04,-0.04,,-26.715,-29.802,-28.992,thin ,0.0,0.0,None,0.0,0.0
74432,0.09,-2.69,0.16,0.12,0.07,0.34,0.22,0.12,0.15,0.26,0.2,0.06,0.06,0.0,0.23,0.12,0.13,-20.414,-22.816,10.713,thin ,0.0,0.0,None,0.0,0.0
74464,0.18,,0.02,0.25,0.12,0.12,0.14,0.17,0.14,,0.18,0.15,0.14,,0.19,0.22,,-53.162,-59.565,-5.153,N/A ,0.0,0.0,None,0.0,0.0
74478,-0.16,,,,-0.12,-0.1,-0.13,-0.15,-0.08,-0.04,0.07,0.14,-0.1,-0.31,-0.1,-0.16,,-41.951,-47.05,20.647,N/A ,0.0,0.0,None,0.0,0.0
74500,0.3,-2.27,0.36,0.23,0.38,0.33,0.33,0.31,0.28,0.43,0.3,0.26,0.27,0.31,0.44,0.35,0.28,-15.746,-17.717,-11.209,thin ,1.0,2.0,Radial Velocity,1.61,1.1
74517,-0.02,,-0.31,-0.26,-0.25,-0.1,-0.2,-0.24,-0.04,,-0.08,-0.11,-0.07,-0.14,,-0.03,0.2,-73.802,-83.15,172.46,thin ,0.0,0.0,None,0.0,0.0
74549,0.1,,0.15,,0.06,0.12,0.07,0.12,0.11,,0.14,0.29,0.14,0.12,0.23,0.16,,-21.258,-24.023,-28.343,N/A ,0.0,0.0,None,0.0,0.0
74550,0.1,,0.15,,0.14,0.14,0.13,0.11,0.1,0.16,0.17,0.33,0.12,0.07,0.22,0.13,,-21.181,-23.938,-28.238,N/A ,0.0,0.0,None,0.0,0.0
74588,-1.19,,,,-1.46,-0.91,,-1.03,-0.89,,-0.94,-1.29,-1.27,-1.69,-1.23,-1.27,,-199.416,-226.265,195.941,N/A ,0.0,0.0,None,0.0,0.0
74605,0.08,,0.11,0.04,0.08,0.1,0.0,0.05,0.13,0.22,0.05,-0.02,0.07,-0.06,0.14,0.02,0.4,-6.428,-7.307,23.318,thin ,0.0,0.0,None,0.0,0.0
74653,0.3,-2.77,0.32,0.22,0.38,0.35,0.34,0.32,0.27,0.39,0.31,0.35,0.3,0.28,0.42,0.36,0.31,-5.891,-6.733,-25.291,thin ,1.0,5.0,Radial Velocity,0.0286,1.05
74662,0.26,,,,,0.02,0.14,0.28,0.4,,0.19,,,,,0.14,,-45.873,-52.517,28.954,thin ,0.0,0.0,None,0.0,0.0
74663,0.19,,,,0.54,0.12,0.29,0.28,0.26,0.46,0.27,0.38,0.19,0.13,0.29,0.25,,-19.352,-22.157,-153.293,N/A ,0.0,0.0,None,0.0,0.0
74666,-0.33,-2.37,-0.38,-0.08,-0.24,-0.2,-0.14,-0.2,-0.23,-0.35,-0.23,-0.38,-0.35,-0.38,-0.21,-0.28,-0.46,-20.509,-23.49,20.495,thin ,0.0,0.0,None,0.0,0.0
74702,-0.04,,-0.09,-0.11,-0.18,-0.04,-0.09,-0.08,-0.02,-0.02,-0.03,-0.08,-0.03,-0.16,0.04,-0.12,0.05,-10.355,-11.911,0.219,thin ,0.0,0.0,None,0.0,0.0
74710,0.22,,-0.09,0.31,,0.23,0.1,0.17,0.22,,0.23,0.25,0.21,,0.1,0.24,,-27.739,-31.941,-43.022,N/A ,0.0,0.0,None,0.0,0.0
74734,-0.2,,,,-0.3,-0.15,-0.24,-0.22,-0.17,-0.15,-0.13,-0.28,-0.28,-0.67,-0.27,-0.33,,-26.21,-30.265,12.083,thin ,0.0,0.0,None,0.0,0.0
74771,0.02,,-0.18,,-0.07,-0.02,-0.05,-0.01,0.02,,0.06,,0.05,,0.01,0.03,,-25.011,-28.997,-5.577,thin ,0.0,0.0,None,0.0,0.0
74775,-0.01,-0.42,-0.03,-0.06,-0.02,-0.02,-0.2,0.01,0.09,0.14,0.14,0.01,-0.01,-0.27,-0.05,-0.05,,-24.963,-28.95,-39.865,thin ,0.0,0.0,None,0.0,0.0
74788,0.24,,0.19,0.11,0.26,0.18,0.13,0.26,0.2,,0.24,0.19,0.22,,0.29,0.28,,-55.784,-64.777,-66.13,thin ,0.0,0.0,None,0.0,0.0
74793,0.02,,-0.37,-0.09,0.04,0.04,0.16,0.25,-0.16,-0.06,0.12,-0.04,-0.08,0.14,0.24,-0.09,,-25.505,-29.626,119.067,thin ,1.0,1.0,Radial Velocity,14.74,2.78
74808,-0.08,-3.28,-0.29,-0.21,0.02,0.02,-0.08,-0.04,0.03,0.11,-0.02,0.07,0.05,-0.15,-0.01,0.01,,-48.859,-56.851,145.679,thin ,0.0,0.0,None,0.0,0.0
74818,-0.15,,-0.32,-0.14,-0.16,-0.04,-0.12,-0.1,-0.15,-0.14,-0.18,-0.14,-0.16,-0.36,0.61,-0.19,-0.37,-18.202,-21.195,97.722,thin ,0.0,0.0,None,0.0,0.0
74831,-0.5,,,-0.15,-0.56,-0.17,-0.45,-0.36,-0.36,-0.27,-0.38,-0.4,-0.55,-0.78,-0.32,-0.54,-0.64,-24.718,-28.833,-44.299,thin ,0.0,0.0,None,0.0,0.0
74834,-0.05,-2.28,-0.21,-0.11,0.05,0.16,0.02,0.03,0.02,0.13,0.03,0.14,0.11,-0.08,0.05,0.05,,-39.472,-46.066,159.321,thin ,0.0,0.0,None,0.0,0.0
74842,0.11,,-0.12,-0.1,-0.12,0.01,-0.04,-0.09,0.08,,0.04,0.02,0.07,0.04,,0.12,0.27,-53.211,-62.13,-7.448,thin ,0.0,0.0,None,0.0,0.0
74856,0.15,-0.77,0.16,0.08,0.19,0.17,0.12,0.17,0.16,0.2,0.17,0.11,0.15,0.04,0.17,0.19,,-25.559,-29.875,-40.604,thin ,1.0,1.0,Radial Velocity,2.3,1.28
74858,0.06,,,,0.2,,0.04,0.0,0.06,,0.03,0.02,-0.03,-0.16,0.01,-0.03,,-88.188,-103.15,90.146,N/A ,0.0,0.0,None,0.0,0.0
74880,-0.03,,-0.08,0.08,-0.04,0.08,-0.05,0.07,-0.07,0.14,-0.08,0.07,-0.06,-0.16,0.05,0.06,,-56.492,-66.255,423.941,thin ,0.0,0.0,None,0.0,0.0
74886,-0.28,,-0.34,-0.14,-0.18,-0.12,-0.29,-0.18,-0.12,-0.06,-0.21,-0.15,-0.18,-0.45,-0.19,-0.19,,-83.145,-97.578,211.629,thin ,0.0,0.0,None,0.0,0.0
74890,0.28,,,,0.54,0.39,0.46,0.38,0.3,0.97,0.48,0.79,0.33,0.85,0.66,0.37,,-38.249,-44.899,-52.037,N/A ,1.0,1.0,Radial Velocity,2.4,1.74
74896,-0.02,,-0.32,0.05,0.01,0.13,0.02,0.02,0.08,0.14,0.1,0.1,0.04,0.03,0.15,0.01,,-73.272,-86.101,42.435,thin ,0.0,0.0,None,0.0,0.0
74933,-0.28,-1.21,0.06,0.04,-0.36,-0.21,-0.25,-0.22,-0.24,0.18,-0.28,-0.38,-0.32,-0.62,-0.18,-0.38,-0.29,-47.359,-55.803,35.337,thin ,0.0,0.0,None,0.0,0.0
74935,-0.4,,-0.36,-0.13,-0.39,-0.23,-0.4,-0.31,-0.25,-0.22,-0.35,-0.31,-0.34,-0.64,-0.3,-0.34,,-97.049,-114.394,244.836,thin ,0.0,0.0,None,0.0,0.0
74942,0.08,,-0.08,0.03,0.08,0.12,0.16,0.24,0.03,0.11,0.09,0.12,0.08,-0.06,0.88,-0.7,,-37.132,-43.798,212.188,thin ,0.0,0.0,None,0.0,0.0
74948,0.02,-0.88,0.1,0.12,-0.06,0.04,-0.02,-0.02,0.04,0.06,0.03,-0.08,-0.02,-0.24,0.08,-0.08,0.12,-32.535,-38.406,-1.399,thin ,1.0,1.0,Radial Velocity,13.102,1.18
74961,-0.07,,0.0,-0.03,0.0,0.06,0.05,0.04,-0.04,-0.12,0.02,-0.06,-0.14,-0.02,-0.05,-0.05,,-50.682,-59.923,70.006,thin ,1.0,1.0,Radial Velocity,2.0,1.33
74975,0.03,,0.04,0.05,0.07,0.06,-0.06,0.03,0.14,0.22,0.08,-0.03,0.04,-0.12,-0.02,0.01,0.23,-16.394,-19.419,0.783,thin ,0.0,0.0,None,0.0,0.0
74976,-0.18,,0.02,0.05,-0.15,-0.15,-0.28,-0.2,-0.08,0.07,-0.16,-0.09,-0.12,-0.29,-0.12,-0.09,,-20.961,-24.829,59.536,thin ,0.0,0.0,None,0.0,0.0
74995,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,Radial Velocity,0.05223,0.31
75030,0.02,-3.28,,,0.1,0.33,0.06,0.17,0.07,0.24,0.09,0.18,0.11,-0.04,0.19,0.16,,-37.935,-45.159,113.172,thin ,0.0,0.0,None,0.0,0.0
75039,-0.07,-0.58,-0.12,0.04,-0.13,-0.1,-0.22,-0.08,0.01,,-0.05,-0.09,-0.07,-0.33,,-0.12,0.0,-19.798,-23.603,26.765,thin ,0.0,0.0,None,0.0,0.0
75049,-0.21,-2.94,-0.27,-0.05,-0.17,0.01,0.02,-0.05,-0.14,-0.09,-0.13,-0.2,-0.2,-0.29,-0.04,-0.21,-0.25,-47.345,-56.495,41.901,thin ,1.0,1.0,Radial Velocity,1.12,1.3
75069,-0.3,,,,-0.34,-0.39,-0.34,-0.32,-0.28,-0.31,-0.24,-0.21,-0.37,-0.69,-0.41,-0.4,,-27.583,-33.0,0.184,thin ,0.0,0.0,None,0.0,0.0
75078,-0.34,-3.28,-0.39,-0.22,-0.34,-0.25,-0.41,-0.31,-0.17,-0.16,-0.27,-0.22,-0.27,-0.54,-0.27,-0.28,,-17.256,-20.662,170.8,N/A ,0.0,0.0,None,0.0,0.0
75092,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Radial Velocity,1.79,1.28
75101,0.45,,0.34,0.37,0.52,0.49,0.48,0.33,0.43,0.64,0.33,0.53,0.39,0.45,0.63,0.45,0.11,-23.214,-27.858,-1.528,thin ,0.0,0.0,None,0.0,0.0
