HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
96808,0.15,-3.15,-0.11,0.0,0.2,0.26,0.39,0.28,0.09,0.12,0.12,0.14,0.24,0.12,0.14,0.17,0.12,29.905,-63.606,-20.544,thin ,0.0,0.0,None,0.0,0.0
96813,0.29,,0.16,0.35,0.27,0.18,0.11,0.27,0.32,,0.31,0.16,0.29,0.16,,0.27,0.34,20.439,-43.459,-6.333,thin ,0.0,0.0,None,0.0,0.0
96821,-0.04,,0.05,0.23,0.05,0.28,0.02,0.17,-0.03,0.27,0.05,0.18,0.08,-0.07,0.18,0.11,,4.605,-9.786,298.104,N/A ,0.0,0.0,None,0.0,0.0
96825,0.44,,0.3,0.82,0.08,0.36,0.22,0.13,0.61,0.8,0.55,0.56,0.37,-0.1,0.26,0.31,0.7,15.188,-32.263,36.319,thin ,0.0,0.0,None,0.0,0.0
96854,0.12,-2.82,0.2,0.15,0.15,0.19,0.24,0.16,0.14,0.25,0.19,0.18,0.15,0.05,0.23,0.15,0.16,16.147,-34.149,-24.412,thin ,0.0,0.0,None,0.0,0.0
96861,-0.02,,-0.04,,0.08,-0.02,0.13,-0.01,0.02,0.4,0.26,0.5,0.06,-0.15,0.07,0.07,,7.436,-15.713,-26.087,N/A ,1.0,1.0,Radial Velocity,1.3,0.8
96878,-0.23,,-0.28,-0.13,-0.48,-0.27,-0.48,-0.3,-0.31,-0.21,-0.36,-0.28,-0.35,-0.61,-0.34,-0.36,,59.8,-125.954,164.382,thin ,0.0,0.0,None,0.0,0.0
96881,0.1,,0.18,0.13,0.07,0.18,0.05,0.08,0.11,0.17,0.06,0.07,0.11,0.12,0.18,0.13,0.1,20.635,-43.456,-34.601,thin ,0.0,0.0,None,0.0,0.0
96895,0.12,-2.04,0.09,0.05,0.06,0.13,0.11,0.11,0.11,0.2,0.11,0.08,0.08,0.0,0.12,0.12,0.05,5.771,-12.124,16.303,thin ,0.0,0.0,None,0.0,0.0
96901,0.09,-2.22,0.07,-0.02,0.03,0.14,0.1,0.06,0.08,0.2,0.12,0.06,0.05,-0.02,0.12,0.08,0.05,5.77,-12.115,16.289,thin ,3.0,1.0,Radial Velocity,1.752,0.98
