HIP,EXO,Multi,discoverymethod
HIP 47780,1,3,Transit
HIP 47780,1,3,Transit
HIP 47780,1,3,Transit
HIP 47780,1,3,Radial Velocity
HIP 47780,1,3,Radial Velocity
,1,1,Radial Velocity
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Radial Velocity
HIP 51317,1,1,Radial Velocity
HIP 79126,1,1,Radial Velocity
,1,1,Radial Velocity
HIP 84460,1,2,Radial Velocity
HIP 84460,1,2,Radial Velocity
HIP 54035,1,2,Radial Velocity
HIP 54035,1,2,Radial Velocity
HIP 54035,1,2,Radial Velocity
HIP 54035,1,2,Radial Velocity
HIP 54646,2,2,Radial Velocity
HIP 54646,2,2,Radial Velocity
HIP 54646,2,2,Radial Velocity
HIP 54646,2,2,Radial Velocity
HIP 55042,1,1,Radial Velocity
HIP 55042,1,1,Radial Velocity
,1,1,Radial Velocity
HIP 56528,1,3,Radial Velocity
HIP 56528,1,3,Radial Velocity
HIP 56528,1,3,Radial Velocity
HIP 56528,1,3,Radial Velocity
HIP 56528,1,3,Radial Velocity
HIP 56528,1,3,Radial Velocity
HIP 56528,1,3,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 57087,1,1,Radial Velocity
HIP 60398,1,1,Radial Velocity
HIP 60398,1,1,Radial Velocity
HIP 60398,1,1,Radial Velocity
HIP 61706,1,1,Radial Velocity
HIP 62452,1,1,Radial Velocity
HIP 62452,1,1,Radial Velocity
HIP 62452,1,1,Radial Velocity
HIP 62452,1,1,Radial Velocity
HIP 64792,1,1,Imaging
HIP 65859,1,1,Radial Velocity
HIP 68469,1,1,Radial Velocity
HIP 68469,1,1,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 74995,1,3,Radial Velocity
HIP 80459,1,1,Radial Velocity
HIP 83043,1,1,Radial Velocity
HIP 83043,1,1,Radial Velocity
HIP 83043,1,1,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
