HIP_num,Exo,Multi,discoverymethod,MaxPMass,StarMass
,1,2,Radial Velocity,2.5,0.42
,1,2,Radial Velocity,1.75282,0.42
,1,2,Radial Velocity,1.2,0.26
,1,2,Radial Velocity,1.54,0.24
,1,2,Radial Velocity,2,0.42
,1,2,Radial Velocity,1.64396,0.42
,1,2,Radial Velocity,1.673,0.45
HIP 15799,2,1,Radial Velocity,0.036,0.89
HIP 43790,1,2,Radial Velocity,2.51,0.65
HIP 43790,1,2,Radial Velocity,2.3,0.69
HIP 43790,1,2,Radial Velocity,0.06733,0.65
,1,4,Radial Velocity,0.081,0.42
,1,4,Radial Velocity,0.07406,0.42
,1,4,Radial Velocity,0.06636,0.42
,1,4,Radial Velocity,0.081,0.42
,1,4,Radial Velocity,0.02391,0.42
,1,4,Radial Velocity,0.01032,0.42
,1,2,Radial Velocity,0.00636,0.16
,1,2,Radial Velocity,0.00727,0.16
,1,1,Radial Velocity,0.0208,0.47
HIP 120005,2,1,Radial Velocity,0.03335,0.64
HIP 120005,2,1,Radial Velocity,0.03231,0.64
,1,1,Radial Velocity,0.04373,0.54
,1,1,Radial Velocity,0.04373,0.54
,1,1,Radial Velocity,0.03958,0.51
,1,1,Radial Velocity,,
,1,1,Radial Velocity,,0.54
,1,1,Radial Velocity,0.044,0.54
,1,1,Radial Velocity,0.043,0.51
,1,1,Radial Velocity,,0.5
,1,1,Radial Velocity,0.04436,0.56
,1,1,Radial Velocity,,0.5
,1,1,Radial Velocity,,0.5
,2,2,Transit,,
,2,2,Transit,0.00585,0.36
,2,2,Radial Velocity,0.02331,0.36
,1,2,Radial Velocity,0.463,0.12
,1,2,Radial Velocity,0.46,0.12
,1,2,Radial Velocity,0.2,0.12
HIP 47103,1,3,Transit,,
HIP 47103,1,3,Transit,,0.34
HIP 47103,1,3,Transit,,0.34
HIP 47103,1,3,Transit,0.00579,0.34
HIP 47103,1,3,Radial Velocity,0.0107,0.34
HIP 47103,1,3,Radial Velocity,0.01919,0.34
,1,1,Radial Velocity,0.026,0.45
HIP 47780,1,3,Transit,0.00199,0.46
HIP 47780,1,3,Transit,0.00172,0.45
HIP 47780,1,3,Transit,,
HIP 47780,1,3,Radial Velocity,0.01299,0.46
HIP 47780,1,3,Radial Velocity,0.01897,0.46
,1,1,Radial Velocity,0.02517,0.27
,1,2,Transit,0.00551,0.31
,1,2,Transit,,
,1,2,Transit,0.00381,0.31
,1,2,Radial Velocity,0.01797,0.31
HIP 51317,1,1,Radial Velocity,0.00538,0.43
HIP 79126,1,1,Radial Velocity,0.02246,0.63
,1,1,Radial Velocity,0.01161,0.18
HIP 84460,1,2,Radial Velocity,0.00777,0.5
HIP 84460,1,2,Radial Velocity,0.0197,0.5
HIP 54035,1,2,Radial Velocity,0.00846,0.39
HIP 54035,1,2,Radial Velocity,0.00846,0.39
HIP 54035,1,2,Radial Velocity,0.00941,0.39
HIP 54035,1,2,Radial Velocity,0.00882,0.39
HIP 54646,2,2,Radial Velocity,0.0322,0.69
HIP 54646,2,2,Radial Velocity,0.02391,0.65
HIP 54646,2,2,Radial Velocity,0.184,0.69
HIP 54646,2,2,Radial Velocity,0.16937,0.65
HIP 55042,1,1,Radial Velocity,0.03115,0.35
HIP 55042,1,1,Radial Velocity,0.03483,0.35
,1,1,Radial Velocity,0.05213,0.41
HIP 56528,1,3,Radial Velocity,0.018,0.48
HIP 56528,1,3,Radial Velocity,0.01668,0.48
HIP 56528,1,3,Radial Velocity,0.01901,0.48
HIP 56528,1,3,Radial Velocity,0.02,0.59
HIP 56528,1,3,Radial Velocity,0.14159,0.48
HIP 56528,1,3,Radial Velocity,0.10201,0.48
HIP 56528,1,3,Radial Velocity,0.01643,0.48
HIP 57087,1,1,Radial Velocity,,0.45
HIP 57087,1,1,Radial Velocity,0.0713,0.44
