HIP_num,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
HIP 80262 ,-0.15,,-0.15,-0.12,-0.29,-0.13,-0.23,-0.13,-0.11,,-0.15,-0.12,-0.14,-0.33,,-0.15,-0.07,-15.783,-35.079,12.105,thin 
HD 203973 ,-0.33,,,,-0.36,-0.3,-0.28,-0.29,-0.15,-0.09,-0.22,-0.11,-0.24,-0.51,-0.15,-0.24,,48.344,-39.644,129.492,N/A 
HIP 80264 ,-0.33,-0.75,-0.05,-0.11,-0.34,-0.24,-0.43,-0.26,-0.29,-0.22,-0.32,-0.34,-0.36,-0.57,-0.28,-0.32,-0.46,-13.183,-29.305,38.765,thin 
2MASS 08382429+2006217 ,0.16,,,,0.04,0.1,0.05,0.15,0.14,,0.11,0.09,0.05,-0.05,0.19,0.22,,-107.521,129.965,61.747,N/A 
HIP 80272 ,-0.14,,-0.16,0.08,,0.24,-0.18,0.12,-0.12,0.01,0.02,-0.08,0.07,,0.15,0.01,,-15.606,-34.706,223.828,N/A 
HIP 80273 ,-0.12,,-0.02,0.05,-0.14,-0.1,-0.17,-0.11,-0.1,0.05,-0.09,-0.21,-0.15,-0.36,-0.11,-0.15,-0.08,-26.164,-58.188,-0.788,thin 
HIP 113044 ,0.25,-0.61,0.28,0.18,0.32,0.28,0.23,0.27,0.27,0.34,0.24,0.16,0.22,0.22,0.29,0.27,0.27,20.936,-6.238,-24.777,thin 
HIP 113046 ,-0.23,,-0.16,-0.07,-0.27,-0.05,-0.25,-0.1,-0.18,-0.04,-0.24,-0.17,-0.23,-0.43,-0.14,-0.21,,54.281,-16.171,288.737,thin 
HIP 80279 ,-0.22,-0.86,,,-0.28,-0.15,-0.34,-0.24,-0.14,0.02,-0.2,-0.17,-0.25,-0.37,-0.13,-0.23,-0.38,-21.85,-48.645,35.561,N/A 
HIP 14748 ,-0.14,-3.68,-0.22,-0.16,0.03,0.07,0.16,0.11,-0.09,-0.12,-0.04,-0.01,0.01,-0.17,0,-0.06,-0.18,76.95,84.308,57.9,thin 
HIP 80295 ,0.08,,0.01,-0.15,0.12,-0.01,-0.05,0.06,0.08,,0.03,0.2,0,-0.08,,0.04,0.03,-22.362,-49.902,-11.219,thin 
HIP 113066 ,-0.11,,-0.19,-0.14,-0.21,-0.05,-0.15,-0.09,-0.16,0.04,-0.19,-0.07,-0.13,-0.31,-0.07,-0.1,,38.612,-11.452,234.141,thin 
HIP 14765 ,-0.04,-2.23,-0.37,-0.18,0.17,0.09,-0.01,0,0.07,-0.05,-0.07,-0.14,0,-0.19,-0.06,-0.11,0.04,60.496,66.4,-142.695,N/A 
HD 17998 ,-0.08,,0.07,,-0.29,-0.15,-0.17,-0.17,-0.08,-0.08,-0.12,-0.1,-0.13,-0.29,-0.07,-0.22,,34.068,32.194,-0.465,N/A 
HIP 113076 ,-0.4,-0.76,-0.14,-0.18,-0.39,-0.42,-0.5,-0.32,-0.37,,-0.4,-0.48,,-0.73,-0.47,-0.45,,34.935,-10.343,24.759,thin 
HIP 80309 ,0.07,-2.75,-0.24,-0.11,0.26,0.12,0.18,0.23,0.08,-0.01,0.06,-0.04,0.06,-0.08,0.78,-0.94,0.23,-30.415,-68.141,138.565,thin 
HIP 14774 ,0.24,,0.26,0.09,0.22,0.24,0.04,0.19,0.17,0.32,0.17,0.13,0.21,0.13,0.27,0.2,0.3,45.57,50.047,-7.743,thin 
HIP 80315 ,0.01,,-0.02,-0.03,-0.2,-0.08,-0.15,-0.01,0.05,,-0.05,-0.01,0,-0.14,,-0.05,0.06,-16.961,-38.02,-2.164,thin 
HIP 113084 ,0.19,-2.95,0.11,0.13,0.34,0.29,0.34,0.3,0.18,0.18,0.18,0.2,0.22,0.25,0.33,0.29,0.14,67.523,-19.964,59.877,thin 
HIP 113086 ,0.09,,0.13,0.11,-0.01,0.11,-0.04,0.06,0.13,0.24,0.14,0.01,0.07,-0.08,0.25,0.04,0.07,37.647,-11.13,14.205,thin 
